tournament,count
Gamerz Rebooted #113,58
Gameworks Ultimate #29,194
Gaming Adventures #3,13
Gaming Knights VGN 2019,204
GatorLAN - Fall 2019,397
GatorLAN Spring 2019,375
Genesis 6,3771
Get On My Level 2019 - Canadian Fighting Game Championships,1554
Glitch 6,988
Glitch 7 - Minus World,798
GoTE 4TheKids 2019 Charity Pro-Am sponsored by MORtv,200
GoTE Weekly Smash-U/RoA #192 (Wednesday),46
GoTE Weekly Smash-U/RoA #194 (Wednesday),32
Grimm's Farewell,108
Guepeto's Yellow Festival,12
Gwinnett Brawl: January 2019 (Smash Side),18
Gwinnett Brawl: July 2019 (Smash Side),285
Gwinnett Brawl: September 2019 (Smash Side),179
HCPS eSports Tournament,119
HTS Ultimate #3 - Back in Action,188
Hack Arizona 2019,108
Hail Smash XI — The Realm of the Lion,48
Haugasmash #24,1
Heat Wave Super,76
Heroes of Dutch Comic Con Spring 2019,304
Highlander Con 2019,287
Hit or Miss,219
Hold My Beer #6,25
Hollywood Action Tuesdays 48,211
Hollywood Action Tuesdays 49,106
House of Paign 20,334
House of Smash 81,51
Hypertension Ultimate,306
IBBC TOURNAMENT SAGA RANKED,200
ICARUS V,403
IDVRV Tournament primera fecha,15
"IG Presents Smash Circuit #1 @Cyberzone ""We're Back Baby!""",32
INEFABLE # 1,2
INFINITE 4,266
ITESM-MANIA,20
IUPUI's Ultimate Friday Freakout #1,11
Infinity Ugur presented by TNS,212
Invincible 4,256
Iron Brothers #25,61
January 2019 Smash Jam,371
January 2019 Smash Jam Recreation,260
January Smash Ultimate Competition,15
"Juicy Monthly - January 26, 2019!",181
"Juicy Monthly - October 5th, 2019!",103
Jungle Gym XL,22
Just Roll With It! 11,623
KSU Smash Presents: Sapocalypse,325
KVO Resort 2019,152
KVOxTSB 2019,230
Kawaii Kon 2019,348
Kent Combo 100,181
Kent Combo 91,37
King In The North- ALPHA STONE,12
Kings of Hali 4,410
Knee of Justice #5,15
LA SmashFest,194
LAN ETS 2019,414
LAN King Smash Weekly 4/16/2019,204
LAN King Smash Weekly 4/2/2019,263
