rank,player
1,MkLeo
2,Samsora
3,Tweek
4,Nairo
5,Marss
6,Maister
7,Zackray
8,Glutonny
9,Dabuz
10,Light
11,kameme
12,Tea
13,Shuton
14,ESAM
15,T
16,KEN
17,Raito
18,Kuro
19,ProtoBanham
20,WaDi
21,Lea
22,Dark
23,Cosmos
24,Abadango
25,Kome
26,Choco
27,Nietono
28,LeoN
29,Gackt
30,Salem
31,Raffi
32,Elegant
33,Pandarian
34,Etsuji
35,Umeki
36,Nicko
37,Ned
38,VoiD
39,Lui
40,ScAtt
41,HIKARU
42,Goblin
43,BestNess
44,Mr
45,RFang
46,Kola
47,Riddles
48,Kirihara
49,Big
50,Ron
