id,player
5983,Pavise
5988,Eden
5992,Holy
6002,PicklesForScale
6006,Pyro
6007,Volt
6013,TitoKMF
6023,Dope
6027,ØaK
6028,PKDong
6036,King of Hearts
6046,Xyro
6047,Tvfish
6048,Majikku
6068,Besh
6081,eBat
6083,San
6086,Samplay
6116,Radeoctua
6122,Glutonny
6123,REDJOHN
6130,VGAddict
6132,PreCookedBread
6141,Felker
6148,Odon
6162,Griffith
6179,StylesX2
6187,Dinoslashz
6189,Armada
6193,Mariokartmoney
6199,Sjin
6246,DudeMatt
6247,DuperSoup
6249,Objekshin
6275,Dunnobro
6283,Seethe [or] Joe Ray Shady
6288,hat
6290,Ash
6291,Neely
6296,Black Hayato
6301,Shoyo James [or] Rivers
6302,Guy
6306,Legend [or] StopN'Swap
6310,Kairi Conti
6317,savethewaffles
6323,Rey Alan
6330,crikeyJoe
6331,Tornado
6333,JULES
6336,Jut
6397,Kesa
6403,Illidan Stormrage
6418,Jaaahsh
6420,Pokecheese
6425,Kyokoro
6433,The Money Store
6529,Jayram
6530,Klin
6540,neomadgic
6546,Calvin
6567,Sendo
6569,Groove
6572,Advent
6603,BugDoctor
6606,theblackscarecrow
6607,Toros
6612,Bajef
6652,Blaze
6684,thiefbug
6693,WoK
6699,Votega
6702,Zluchs
6705,Snedderick
6706,Sevenes
6707,Dr.Dead
6710,kiw1
6768,Hippo
6770,Xatic
6771,Yikes the Hedgehog
6809,blanc
6813,cstonic
6822,Coastward
6826,Jerm
6835,Kiwi
6838,Dr.L
6843,Tuck9
6856,KassandraNova
6860,Doctor B
6865,Koobie
6872,quiK
6874,Switch_
6886,Shabby
6889,PsychoWaffle
6905,Sonido
6909,Critius
6944,PsyRex
6947,Rizner
6955,Mufasa
6957,indy
6972,Joka
6974,Yogi
7036,Failboat
7044,TanTaco
7054,Coleslaw
7057,Professor_wizard
7066,metroid
7067,cyve
7070,Sofa King
7075,Scythe
7077,XeroXen
7081,Katakiri
7086,Thexy
7091,Likewise
7099,AceStarThe3rd
7113,Cyan
7124,Hydra
7127,Amadeus
7166,DRACO762
7174,Lil K
7182,Frosti
7186,Champ
7194,Gingerham
7215,Int
7255,Fluff
7260,Prime
7261,Sells
7272,The D
7275,Co-op
7277,JSalt
7287,Ally
7290,Day
7308,HammerTime
7315,Astro!=
7337,Sakura
7348,Hacky
7356,Chevrium
7368,Fumbles
7374,BlackEndGalaxy
7387,Ralph Cecil
7388,Anonymous Moniker
7400,Azzu
7408,Phoenix
7409,Starman
7414,smasher1001
7424,Nom
7439,PartyGhoul
7451,ITALIAN N1NJA
7468,Blitz
7481,Clap
7500,Smurf
7502,Blandeezy
