tournament,count
Gamerz Rebooted #113,60
Gameworks Ultimate #29,210
Gaming Adventures #3,13
Gaming Knights VGN 2019,230
GatorLAN - Fall 2019,595
GatorLAN Spring 2019,549
Genesis 6,4209
Get On My Level 2019 - Canadian Fighting Game Championships,1692
Glitch 6,1100
Glitch 7 - Minus World,863
GoTE 4TheKids 2019 Charity Pro-Am sponsored by MORtv,220
GoTE Weekly Smash-U/RoA #192 (Wednesday),48
GoTE Weekly Smash-U/RoA #194 (Wednesday),32
Grimm's Farewell,110
Guepeto's Yellow Festival,12
Gwinnett Brawl: January 2019 (Smash Side),19
Gwinnett Brawl: July 2019 (Smash Side),289
Gwinnett Brawl: September 2019 (Smash Side),182
HCPS eSports Tournament,119
HTS Ultimate #3 - Back in Action,198
Hack Arizona 2019,123
Hail Smash XI — The Realm of the Lion,48
Haugasmash #24,1
Heat Wave Super,76
Heroes of Dutch Comic Con Spring 2019,402
Highlander Con 2019,447
Hit or Miss,222
Hold My Beer #6,37
Hollywood Action Tuesdays 48,218
Hollywood Action Tuesdays 49,113
House of Paign 20,346
House of Smash 81,63
Hypertension Ultimate,359
IBBC TOURNAMENT SAGA RANKED,201
ICARUS V,414
IDVRV Tournament primera fecha,16
"IG Presents Smash Circuit #1 @Cyberzone ""We're Back Baby!""",32
INEFABLE # 1,2
INFINITE 4,298
ITESM-MANIA,20
IUPUI's Ultimate Friday Freakout #1,14
Infinity Ugur presented by TNS,239
Invincible 4,264
Iron Brothers #25,63
January 2019 Smash Jam,473
January 2019 Smash Jam Recreation,266
January Smash Ultimate Competition,15
"Juicy Monthly - January 26, 2019!",218
"Juicy Monthly - October 5th, 2019!",179
Jungle Gym XL,22
Just Roll With It! 11,702
KSU Smash Presents: Sapocalypse,428
KVO Resort 2019,173
KVOxTSB 2019,297
Kawaii Kon 2019,415
Kent Combo 100,200
Kent Combo 91,37
King In The North- ALPHA STONE,18
Kings of Hali 4,416
Knee of Justice #5,16
LA SmashFest,248
LAN ETS 2019,428
LAN King Smash Weekly 4/16/2019,212
LAN King Smash Weekly 4/2/2019,274
LAN King Smash Weekly 6/25/2019,205
LAN King Smash Weekly 7/9/19,267
LAN King Weekly 8/27/19,207
LGX 2019 - Luxembourg Gaming Xperience 2019,184
LVL Up Expo 2019,792
Launchpad #4,35
Launchpad #5,29
Legacy Fusion Fight Year One,107
Let´s Parry!,216
Lighthouse League Season 1: January FGC,170
Lighting Smash Tournament: Ultimate Edition,142
Lightning: strikes twice,188
Little Big House 5,375
Low Tier City 7,1391
MECHA,378
MTA eUnlimited BYTE 2019,185
Maine Smash Chronicles,3
Mainstage,464
Making Man Ultimate I,18
Manchester Conquest 4,327
Manchester Conquest 5: MiniMo's Mega Adventure,184
Manchester Mayhem Ultimate #1,55
Maroon Mayhem 1,62
MasterHand 41,44
Mega Smash Mondays 171,424
Mega Smash Mondays 172,301
Mega Smash Mondays 175,226
Mega Smash Mondays 176,215
Mega Smash Mondays 181,222
Mega Smash Mondays 183,291
Mega Smash Mondays 196,206
Mega Smash Mondays 197,203
Mega Smash Mondays 205,206
Mega Smash Mondays 208,153
Melee in t̶h̶e̶ ̶M̶U̶C̶ #3,30
Meltdown Paris W1,35
Meltdown Smash Tournament #21,12
Meltdown Smash Tournament #22,18
Meltdown Ultimate Weeklies #6,67
Meltdown Ultimate Weeklies #7,73
Midwest Arcadian,298
Midwest Arena,465
Milton Matchups 2019 ft. Smash Bros Ultimate,228
Mini Mini Con 2019,284
MomoCon 2019,2498
MoneyG SSBU tournament #5,24
MoneyG Tournament series #6,66
Montevideo Smash Ultimate - Enero,16
Mushroom Kingdom Mayhem,259
NCS Minor | Colorado SMASHDOWN,216
Name Pending #1: A UGA Smash Ultimate Tournament Series,67
Naoned Revenge,481
Neokan Ultimate Weekly #5,18
Neokan Ultimate Weekly #6,34
Nerd Corner Knockout #3,231
"New Challengers, Stage 3 (featuring Mortal Kombat XL)",66
New England Smash Ultimate Arcadian,132
"New year , New me",73
Nightfall Smash Ultimate  #6,39
Nightmare in Smashland 2019,372
No Fun Allowed 3,491
No John's #18,250
No John's #19,242
No John's #21 @ Festival 1UP,226
No Limit Fresno,85
No Mercy #01,68
No Pause Weekly  01/07/19,1
NorCal Regionals 2019,286
Not Your Parce! #1,15
ONLY THE BEST II,201
OVA XI: FACTOR CREMA FT NAKAT,214
OVA XIII: ALL FOR ONE AND ONE FOR ALL,281
Ohlone Renegade Super Smash Bros. Tournament,33
Okay:2019,272
OooWee's The Hard Read Ultimate #3,16
OooWee's The Hard Read Ultimate #4,41
Orbitar 63,402
Orbitar 64,254
Orbitar 65,242
Orbitar 66,342
Orbitar 67,318
Orbitar 68,319
Orbitar 69,319
Orbitar 70,202
Orbitar 71,319
Orbitar 72,304
Orbitar 75,318
Orbitar 76,340
Orbitar 77,193
Orbitar 78,164
Orion 2019,347
Otaku Zone Season 1 Week 11,206
Otaku Zone Season 1 Week 2,350
Otaku Zone Season 1 Week 3,250
Otaku Zone Season 1 Week 4,254
Otaku Zone Season 1 Week 9,204
Otaku Zone Season 2 Arcadian,207
Overclocked Ultimate II: New England Smash Ultimate Regional,414
Overclocked Ultimate III,198
Overclocked Ultimate: New England Smash Ultimate Regional,417
Overlords of Orlando: Ultimate Edition,514
Overly Caffeinated - Smash Ultimate Arcadian,202
Overpowered - January 2019,7
