rank,player
1,MkLeo
2,Tweek
3,Marss
4,Samsora
5,Shuton
,Canada
7,Dabuz
8,Nairo
9,VoiD
10,Light
11,Cosmos
12,Zackray
13,Myran
14,Glutonny
15,Tea
16,ESAM
17,MVD
18,Rivers
19,kameme
20,Raito
21,Wishes
22,Salem
23,ProtoBanham
24,WaDi
25,Sinji
26,NAKAT
27,MuteAce
28,Puppeh
29,Stroder
30,Lea
31,Dark Wizzy
32,CaptainZack
33,Ryuga
34,yeti
35,LeoN
36,Mr E
37,Prodigy
38,Mr
39,Goblin
40,Abadango
41,ScAtt
42,Umeki
43,The Great Gonzales
44,Tsu
45,Nietono
46,Frozen
47,T
48,Fatality
49,Suarez
50,Captain L
