rank,player
1,MkLeo
2,Samsora
3,Tweek
4,Nairo
5,Marss
6,Maister
9,Dabuz
10,Light
14,ESAM
20,WaDi
22,Dark Wizzy
23,Cosmos
28,LeoN
30,Salem
31,Raffi-X
32,Elegant
33,Pandarian
36,Nicko
37,Ned
38,VoiD
39,Lui$
40,ScAtt
42,Goblin
43,BestNess
45,RFang
46,Salt One
47,Riddles
49,Big D
